id,name,classification,estimatedPrice,rank,maxStack,stackable,effects_health,effects_bleed,effects_radiation,effects_hunger,effects_thirst,notes,image,source_status,source_file,source_note
advanced-bandage,Advanced Bandage,crafting-resource;crafted-item;vendor-item,4000,2,,,10,-33,,,,,,screenshot-verified,evidence-inbox/items/advanced-bandage__tooltip__2026-09-18_085054.png,Verification synchronized from canonical database record
advanced-bandage-blueprint,Advanced Bandage Blueprint,vendor-item,,,,,,,,,,,,,,
advanced-gun-repair-kit,Advanced Gun Repair Kit,crafting-resource;crafted-item;vendor-item,60000,,,,,,,,,,,screenshot-verified,evidence-inbox/items/advanced-gun-repair-kit_tooltip_2026-09-20 235934.png,Verification synchronized from canonical database record
advanced-gun-repair-kit-blueprint,Advanced Gun Repair Kit Blueprint,vendor-item,40000,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/blueprints/advanced-gun-repair-kit-blueprint__tooltip__2026-09-17_202103.png,
advanced-mechanical-components,Advanced Mechanical Components,crafting-resource;vendor-item,25000,3,5,,,,,,,,,screenshot-verified,evidence-inbox/items/advanced-mechanical-components__tooltip__2026-09-18_091907.png,
ai-2-army-medkit,AI-2 Army Medkit,crafting-resource;crafted-item;vendor-item,6200,2,,,40,-20,-10,3,3,,,screenshot-verified,evidence-inbox/items/ai-2-army-medkit__tooltip__2026-09-18_085021.png,Verification synchronized from canonical database record
ai-2-army-medkit-blueprint,AI-2 Army Medkit Blueprint,vendor-item,,,,,,,,,,,,,,
ai-2-mechanist-medkit,AI-2 Mechanist Medkit,vendor-item,9200,3,,,50,-30,-50,3,3,,,screenshot-verified,evidence-inbox/items/ai-2-mechanist-medkit__tooltip__2026-09-18_085027.png,
ai-2-medkit,AI-2 Medkit,crafting-resource;crafted-item;vendor-item,3200,1,,,30,,-15,3,3,,,screenshot-verified,evidence-inbox/items/ai-2-medkit__tooltip__2026-09-18_085015.png,Verification synchronized from canonical database record
angled-foregrip,Angled Foregrip,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/angled-foregrip__tooltip__2026-09-17_201949.png,
armor-plate,Armor Plate,crafting-resource;vendor-item,25000,3,5,,,,,,,,,screenshot-verified,evidence-inbox/items/armor-plate__tooltip__2026-09-18_091919.png,
armoured-rags,Armoured Rags,armour;vendor-item,,,,,,,,,,,,,,
ashen-ushanka,Ashen Ushanka,armour,,,,,,,,,,test,,,,
bahadir-918-long,Bahadir 918 (Long),weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Bahadir 918 (Long).png,Verification synchronized from canonical Pistols record
bahadir-918-short,Bahadir 918 (Short),weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Bahadir 918 (Short).png,Verification synchronized from canonical Pistols record
bahadir-920,Bahadir 920,weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Bahadir 920.png,Verification synchronized from canonical Pistols record
bahadir-extended-handguard,Bahadir Extended Handguard,vendor-item,2500,3,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/handguards/bahadir-extended-handguard__tooltip__2026-09-17_201300.png,Direct in-game attachment tooltip screenshot.
bahadir-railed-handguard,Bahadir Railed Handguard,vendor-item,1250,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/handguards/bahadir-railed-handguard__tooltip__2026-09-17_201305.png,Direct in-game attachment tooltip screenshot.
bahadir-ribbed-cylinder-mag,Bahadir Ribbed Cylinder Mag,vendor-item,1250,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/bahadir-ribbed-cylinder-mag__tooltip__2026-09-17_200643.png,Direct in-game attachment tooltip screenshot.
bakelite-pistol-grip-module,Bakelite Pistol Grip Module,vendor-item,,,,,,,,,,,,,,
balistic-kask,Balistic Kask,armour,40000,,,,,,,,,,evidence-inbox/armour/balistic-kask__stats-100-durability__2026-09-20.png,screenshot-verified,evidence-inbox/armour/balistic-kask__stats-100-durability__2026-09-20.png,Verification synchronized from canonical Armour record
bandage,Bandage,crafting-resource;crafted-item;vendor-item,250,1,,,5,-15,,,,,,screenshot-verified,evidence-inbox/items/bandage__tooltip__2026-09-18_085034.png,Verification synchronized from canonical database record
basic-gun-repair-kit,Basic Gun Repair Kit,crafting-resource;crafted-item,,,,,,,,,,,,screenshot-verified,,Verification synchronized from canonical database record
basic-gun-repair-kit-blueprint,Basic Gun Repair Kit Blueprint,vendor-item,30000,1,,,,,,,,,,screenshot-verified,evidence-inbox/blueprints/basic-gun-repair-kit-blueprint__tooltip__2026-09-13_141943.png,Direct in-game blueprint tooltip screenshot.
borealis-12,Borealis 12,weapon,75000,,,,,,,,,,,screenshot-verified,evidence-inbox/weapons/borealis-12__stats__2026-09-19_141353.png,Verification synchronized from canonical Shotguns record
borealis-12-tak,Borealis 12-TAK,weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Borealis 12-TAK.png,Verification synchronized from canonical Shotguns record
borealis-adaptable-folding-stock,Borealis Adaptable Folding Stock,vendor-item,4000,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/borealis-adaptable-folding-stock__tooltip__2026-09-17_201102.png,Direct in-game attachment tooltip screenshot.
borealis-adaptable-railed-handguard,Borealis Adaptable Railed Handguard,vendor-item,4000,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/handguards/borealis-adaptable-railed-handguard__tooltip__2026-09-17_201334.png,Direct in-game attachment tooltip screenshot.
borealis-aluminum-mag,Borealis Aluminum Mag,vendor-item,1500,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/borealis-aluminum-mag__tooltip__2026-09-17_200439.png,Direct in-game attachment tooltip screenshot.
borealis-curved-mag,Borealis Curved Mag,vendor-item,2500,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/borealis-curved-mag__tooltip__2026-09-17_200446.png,Direct in-game attachment tooltip screenshot.
borealis-drum-mag,Borealis Drum Mag,vendor-item,8000,3,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/borealis-drum-mag__tooltip__2026-09-17_200340.png,Direct in-game attachment tooltip screenshot.
borealis-lock-mount-handguard,Borealis Lock Mount Handguard,vendor-item,2500,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/handguards/borealis-lock-mount-handguard__tooltip__2026-09-17_201342.png,Direct in-game attachment tooltip screenshot.
borealis-long-curved-mag,Borealis Long Curved Mag,vendor-item,4000,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/borealis-long-curved-mag__tooltip__2026-09-17_200618.png,Direct in-game attachment tooltip screenshot.
borealis-polymer-short-handguard,Borealis Polymer Short Handguard,vendor-item,1250,1,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/handguards/borealis-polymer-short-handguard__tooltip__2026-09-17_201328.png,Direct in-game attachment tooltip screenshot.
borealis-railed-dust-cover,Borealis Railed Dust Cover,vendor-item,2500,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/dust-covers/borealis-railed-dust-cover__tooltip__2026-09-17_202047.png,Direct in-game attachment tooltip screenshot.
borealis-skeleton-stock,Borealis Skeleton Stock,vendor-item,1250,1,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/borealis-skeleton-stock__tooltip__2026-09-17_201109.png,Direct in-game attachment tooltip screenshot.
bortovka-tinker,Bortovka Tinker,weapon;vendor-item,,,,,,,,,,,,screenshot-verified,user-provided screenshot (2026-09-19),Verification synchronized from canonical High Caliber Rifles record
bortovka-tinker-mag,Bortovka Tinker (+Mag),weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Bortovka Tinker (+Mag).png,Verification synchronized from canonical High Caliber Rifles record
bortovka-tinker-long-mag,Bortovka Tinker (Long / +Mag),weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Bortovka Tinker (Long - +Mag).png,Verification synchronized from canonical High Caliber Rifles record
canned-beans,Canned Beans,vendor-item,2100,1,,,,,,-27,,,,screenshot-verified,evidence-inbox/items/canned-beans__tooltip__2026-09-18_085113.png,
canteen,Canteen,crafting-resource;vendor-item,480,1,,,,,-5,,-33,,,screenshot-verified,evidence-inbox/items/canteen__tooltip__2026-09-18_085107.png,
chemical-residue,Chemical Residue,crafting-resource;vendor-item,100,1,40,,,,,,,,,screenshot-verified,evidence-inbox/items/chemical-residue__tooltip__2026-09-18_091704.png,
cigarettes,Cigarettes,vendor-item,,,,,-1,,-15,,3,,,screenshot-verified,evidence-inbox/items/historical/cigarettes__tooltip__2026-09-13_144346.png,"Direct in-game tooltip screenshot; older preserved evidence, no newer conflicting screenshot currently archived."
classic-scope,Classic Scope,vendor-item,,,,,,,,,,,,,,
dragoon-2-slot-compensator,Dragoon 2-Slot Compensator,vendor-item,,,,,,,,,,,,,,
dragoon-folding-stock,Dragoon Folding Stock,vendor-item,4000,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/dragoon-folding-stock__tooltip__2026-09-17_201225.png,Direct in-game attachment tooltip screenshot.
dragoon-large-steel-mag,Dragoon Large Steel Mag,vendor-item,4000,3,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/dragoon-large-steel-mag__tooltip__2026-09-17_200638.png,Direct in-game attachment tooltip screenshot.
dragoon-polymer-handguard,Dragoon Polymer Handguard,vendor-item,1250,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/handguards/dragoon-polymer-handguard__tooltip__2026-09-17_201248.png,Direct in-game attachment tooltip screenshot.
dragoon-polymer-stock,Dragoon Polymer Stock,vendor-item,1250,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/dragoon-polymer-stock__tooltip__2026-09-17_201121.png,Direct in-game attachment tooltip screenshot.
dragoon-railed-dust-cover,Dragoon Railed Dust Cover,vendor-item,2500,1,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/dust-covers/dragoon-railed-dust-cover__tooltip__2026-09-17_202057.png,Direct in-game attachment tooltip screenshot.
dragoon-railed-handguard,Dragoon Railed Handguard,vendor-item,4000,3,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/handguards/dragoon-railed-handguard__tooltip__2026-09-17_201255.png,Direct in-game attachment tooltip screenshot.
dragoon-steel-mag,Dragoon Steel Mag,vendor-item,2500,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/dragoon-steel-mag__tooltip__2026-09-17_200631.png,Direct in-game attachment tooltip screenshot.
dried-mushrooms,Dried Mushrooms,vendor-item,,,,,,,,,,,,,,
dried-steak,Dried Steak,vendor-item,,,,,,,,,,,,,,
dusty-overcoat,Dusty Overcoat,armour,,,,,,,,,,,,,,
echelon-killer-apple,Echelon - Killer Apple,vendor-item,,,,,,,,,,,,,,
ekzoskelet-armor,Ekzoskelet Armor,armour,,,,,,,,,,,,,,
ekzoskelet-legs,Ekzoskelet Legs,armour,100000,,,,,,,,,,,screenshot-verified,evidence-inbox/armour/ekzoskelet-legs__stats-100-durability__2026-09-20_084304.png,Identity and armour record supported by direct in-game screenshot at 100% durability; detailed resistance stats are canonical in data/armour.json.
elevated-red-dot-sight,Elevated Red Dot Sight,vendor-item,,,,,,,,,,,,,,
expert-gun-repair-kit,Expert Gun Repair Kit,crafted-item;vendor-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/weapon/expert-gun-repair-kit__recipe__2026-09-18_205358.png,Verification synchronized from canonical database record
expert-gun-repair-kit-blueprint,Expert Gun Repair Kit Blueprint,vendor-item,60000,3,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/blueprints/expert-gun-repair-kit-blueprint__tooltip__2026-09-17_202109.png,
fabric-scrap,Fabric Scrap,crafting-resource;vendor-item,100,1,40,,,,,,,,,screenshot-verified,evidence-inbox/items/fabric-scrap__tooltip__2026-09-18_091726.png,
field-repair-kit,Field Repair Kit,crafting-resource;crafted-item;vendor-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/armour/field-repair-kit__recipe__2026-09-18_205425.png,Verification synchronized from canonical database record
forward-angled-foregrip,Forward Angled Foregrip,vendor-item,4000,3,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/forward-angled-foregrip__tooltip__2026-09-17_201954.png,
fresh-mushrooms,Fresh Mushrooms,vendor-item,3000,,5,TRUE,10,,,-5,,,evidence-inbox/items/fresh-mushrooms__tooltip__2026-09-20.png,screenshot-verified,evidence-inbox/items/fresh-mushrooms__tooltip__2026-09-20.png,admin
glue,Glue,crafting-resource;crafted-item;vendor-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/armour/glue__recipe__2026-09-18_205415.png,Verification synchronized from canonical database record
gp-4-gas-mask,GP-4 Gas Mask,armour;vendor-item,25000,,,,,,,,,,,screenshot-verified,evidence-inbox/armour/gp-4-gas-mask__stats-100-durability__2026-09-20_084320.png,Identity and armour record supported by direct in-game screenshot at 100% durability; detailed resistance stats are canonical in data/armour.json.
green-rags,Green Rags,armour,,,,,,,,,,,,,,
gun-cleaning-rod,Gun Cleaning Rod,crafting-resource;crafted-item;vendor-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/weapon/gun-cleaning-rod__recipe__2026-09-18_205326.png,Verification synchronized from canonical database record
gun-field-tools,Gun Field Tools,crafting-resource;crafted-item;vendor-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/weapon/gun-field-tools__recipe__2026-09-18_205332.png,Verification synchronized from canonical database record
gun-lube,Gun Lube,crafted-item;vendor-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/weapon/gun-lube__recipe__2026-09-18_205320.png,Verification synchronized from canonical database record
hammer,Hammer,crafting-resource;vendor-item,2000,1,,,,,,,,,,screenshot-verified,evidence-inbox/items/hammer__tooltip__2026-09-18_091636.png,
handstop,Handstop,vendor-item,2500,1,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/handstop__tooltip__2026-09-17_201943.png,
headache-pills,Headache Pills,crafting-resource;vendor-item,1500,,,,15,,,,3,,,screenshot-verified,evidence-inbox/items/historical/headache-pills__tooltip__2026-09-13_141136.png,"Direct in-game tooltip screenshot; older preserved evidence, no newer conflicting screenshot currently archived."
heavy-armor-repair-kit,Heavy Armor Repair Kit,crafted-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/armour/heavy-armor-repair-kit__recipe__2026-09-18_205453.png,Verification synchronized from canonical database record
high-caliber-rifle-ap-ammo,High Caliber Rifle AP Ammo,ammunition;vendor-item,500,,,,,,,,,,,screenshot-verified,evidence-inbox/ammo/high-caliber-rifle-ap__stats__2026-09-13_141718.png,Verification synchronized from canonical database record
high-caliber-rifle-fmj-ammo,High Caliber Rifle FMJ Ammo,ammunition;vendor-item,150,,,,,,,,,,,screenshot-verified,evidence-inbox/ammo/high-caliber-rifle-fmj-ammo__stats__2026-09-19_221757.png,Verification synchronized from canonical database record
holographic-sight,Holographic Sight,vendor-item,60000,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/sights/holographic-sight__tooltip__2026-09-17_195031.png,Direct in-game attachment tooltip screenshot.
ifak-medkit,IFAK Medkit,crafted-item;vendor-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/medical/ifak-medkit__recipe__2026-09-18_205130.png,Verification synchronized from canonical database record
ifak-medkit-blueprint,IFAK Medkit Blueprint,vendor-item,,,,,,,,,,,,,,
kevlar-weave,Kevlar Weave,crafting-resource;vendor-item,10000,2,5,,,,,,,,,screenshot-verified,evidence-inbox/items/kevlar-weave__tooltip__2026-09-18_091913.png,
large-pumpkin,Large Pumpkin,vendor-item,,,,,,,,,,,,,,
leon-1895,Leon 1895,weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Leon 1895.png,Verification synchronized from canonical Pistols record
leon-1895-long,Leon 1895 (Long),weapon;vendor-item,,,,,,,,,,,,screenshot-verified,images/weapons/Leon 1895 (Long).png,Verification synchronized from canonical Pistols record
leon-1895-short,Leon 1895 (Short),weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Leon 1895 (Short).png,Verification synchronized from canonical Pistols record
lightweight-2x-scope,Lightweight 2x Scope,vendor-item,,,,,,,,,,,,,,
lightweight-4x-scope,Lightweight 4x Scope,vendor-item,,,,,,,,,,,,,,
m4-adaptable-extended-handguard,M4 Adaptable Extended Handguard,vendor-item,8000,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/handguards/m4-adaptable-extended-handguard__tooltip__2026-09-17_201420.png,Direct in-game attachment tooltip screenshot.
m4-ergonomic-pistol-grip-module,M4 Ergonomic Pistol Grip Module,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/m4-ergonomic-pistol-grip-module__tooltip__2026-09-17_201739.png,
m4-gen2-drum-mag,M4 Gen2 Drum Mag,vendor-item,8000,3,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/m4-gen2-drum-mag__tooltip__2026-09-17_200147.png,Direct in-game attachment tooltip screenshot.
m4-large-aluminum-mag,M4 Large Aluminum Mag,vendor-item,,,,,,,,,,,,,,
m4-large-aluminum-mag-tan,M4 Large Aluminum Mag (Tan),vendor-item,,,,,,,,,,,,,,
m4-pistol-grip-module,M4 Pistol Grip Module,vendor-item,1250,1,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/m4-pistol-grip-module__tooltip__2026-09-17_201745.png,
m4-railed-handguard,M4 Railed Handguard,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/m4-railed-handguard__tooltip__2026-09-17_201522.png,
m4-ribbed-handguard,M4 Ribbed Handguard,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/m4-ribbed-handguard__tooltip__2026-09-17_201510.png,
m4-slotted-mount-handguard,M4 Slotted Mount Handguard,vendor-item,1250,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/handguards/m4-slotted-mount-handguard__tooltip__2026-09-17_201428.png,Direct in-game attachment tooltip screenshot.
m4-svodbonik,Svobodnik M4,weapon,80000,,,,,,,,,,,screenshot-verified,evidence-inbox/weapons/svobodnik-m4__stats__2026-09-19_144346.png,Verification synchronized from canonical weapon record
m4-target-pistol-grip-module,M4 Target Pistol Grip Module,vendor-item,4000,3,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/m4-target-pistol-grip-module__tooltip__2026-09-17_201733.png,
makeshift-collapsible-stock-module,Makeshift Collapsible Stock Module,vendor-item,2500,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/makeshift-collapsible-stock-module__tooltip__2026-09-17_201056.png,Direct in-game attachment tooltip screenshot.
makeshift-double-stacked-steel-stick-mag,Makeshift Double Stacked Steel Stick Mag,vendor-item,2500,1,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/makeshift-double-stacked-steel-stick-mag__tooltip__2026-09-17_200413.png,Direct in-game attachment tooltip screenshot.
makeshift-grated-stock,Makeshift Grated Stock,vendor-item,2500,1,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/makeshift-grated-stock__tooltip__2026-09-17_200722.png,Direct in-game attachment tooltip screenshot.
makeshift-large-steel-stick-mag,Makeshift Large Steel Stick Mag,vendor-item,,,,,,,,,,,,,,
makeshift-prosthetic-stock,Makeshift Prosthetic Stock,vendor-item,2500,1,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/makeshift-prosthetic-stock__tooltip__2026-09-17_200716.png,Direct in-game attachment tooltip screenshot.
meat-drumstick,Meat Drumstick,vendor-item,,,,,,,,,,,,,,
meat-skewer,Meat Skewer,vendor-item,,,,,,,,,,,,,,
mechanical-components,Mechanical Components,crafting-resource;vendor-item,10000,1,5,,,,,,,,,screenshot-verified,evidence-inbox/items/mechanical-components__tooltip__2026-09-18_091859.png,
medium-armor-repair-kit,Medium Armor Repair Kit,crafting-resource;crafted-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/armour/medium-armor-repair-kit__recipe__2026-09-18_205448.png,Verification synchronized from canonical database record
medium-armor-repair-kit-blueprint,Medium Armor Repair Kit Blueprint,vendor-item,,,,,,,,,,,,,,
medved-drum-mag,Medved Drum Mag,vendor-item,4000,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/medved-drum-mag__tooltip__2026-09-17_200347.png,Direct in-game attachment tooltip screenshot.
medved-monster,Medved Monster,weapon;vendor-item,,,,,,,,,,,,screenshot-verified,images/weapons/Medved Monster.png,Verification synchronized from canonical Pistols record
medved-monster-silenced,Medved Monster (Silenced),weapon,15000,,,,,,,,,,,screenshot-verified,evidence-inbox/weapons/medved-monster-silenced__stats__2026-09-19_144317.png,Verification synchronized from canonical Pistols record
metal-breastplate,Metal Breastplate,armour,,,,,,,,,,,,,,
metal-scrap,Metal Scrap,crafting-resource;vendor-item,100,1,40,,,,,,,,,screenshot-verified,evidence-inbox/items/metal-scrap__tooltip__2026-09-18_091713.png,
mikhail-47,Mikhail 47,weapon;vendor-item,,,,,,,,,,,,screenshot-verified,images/weapons/Mikhail 47.png,Verification synchronized from canonical Rifles record
mikhail-50,Mikhail 50,weapon,100000,,,,,,,,,,,screenshot-verified,evidence-inbox/weapons/mikhail-50__stats__2026-09-19_084710.png,Verification synchronized from canonical Special Weapons record
mikhail-50-pristine,Mikhail 50 (Pristine),weapon,100000,,,,,,,,,,,screenshot-verified,evidence-inbox/weapons/mikhail-50-pristine__stats__2026-09-19_084409.png,Verification synchronized from canonical Special Weapons record
mikhail-50-prototype,Mikhail 50 (Prototype),weapon,80000,,,,,,,,,,,screenshot-verified,evidence-inbox/weapons/mikhail-50-prototype__stats__2026-09-19_084730.png,Verification synchronized from canonical Special Weapons record
mikhail-74-u,Mikhail 74 U,weapon;vendor-item,,,,,,,,,,,,screenshot-verified,images/weapons/Mikhail 74 U.png,Verification synchronized from canonical Rifles record
mk-combination-handguard,MK Combination Handguard,vendor-item,2500,1,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/mk-combination-handguard__tooltip__2026-09-17_201529.png,
mk-compensator,MK Compensator,vendor-item,,,,,,,,,,,,,,
mk-drum-mag,MK Drum Mag,vendor-item,8000,3,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/mk-drum-mag__tooltip__2026-09-17_200139.png,Direct in-game attachment tooltip screenshot.
mk-dust-cover,MK Dust Cover,vendor-item,,,,,,,,,,,,,,
mk-extended-railed-handguard,MK Extended Railed Handguard,vendor-item,4000,3,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/mk-extended-railed-handguard__tooltip__2026-09-17_201543.png,
mk-extended-slotted-handguard,MK Extended Slotted Handguard,vendor-item,,,,,,,,,,,,,,
mk-fixed-carbine-stock,MK Fixed Carbine Stock,vendor-item,1250,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/mk-fixed-carbine-stock__tooltip__2026-09-17_201029.png,Direct in-game attachment tooltip screenshot.
mk-metal-stock,MK Metal Stock,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/mk-metal-stock__tooltip__2026-09-17_201115.png,
mk-polymer-stock,MK Polymer Stock,vendor-item,2500,1,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/mk-polymer-stock__tooltip__2026-09-17_201019.png,
mk-railed-combination-handguard,MK Railed Combination Handguard,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/mk-railed-combination-handguard__tooltip__2026-09-17_201549.png,
mk-railed-dust-cover,MK Railed Dust Cover,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/mk-railed-dust-cover__tooltip__2026-09-17_202040.png,
mk-railed-polymer-handguard,MK Railed Polymer Handguard,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/mk-railed-polymer-handguard__tooltip__2026-09-17_201555.png,
mk-silencer,MK Silencer,vendor-item,,,,,,,,,,,,,,
mk-slant-muzzle-brake,MK Slant Muzzle Brake,vendor-item,,,,,,,,,,,,,,
mk-slotted-mount-handguard,MK Slotted Mount Handguard,vendor-item,,,,,,,,,,,,,,
mk-slotted-mount-handguard-ext,MK Slotted Mount Handguard (Ext.),vendor-item,,,,,,,,,,,,,,
